S11T20R01	FrameCounter	AccX	AccY	AccZ	GyrX	GyrY	GyrZ	EulerX	EulerY	EulerZ
0.77	77	-0.033	-0.996	0.177	0.4583664	0.286479	-0.1718874	101.8146366	-0.81932994	-10.6856667
0.78	78	-0.033	-0.994	0.177	0.4583664	0.2291832	-0.1145916	101.8203662	-0.81360036	-10.67993712
0.79	79	-0.034	-0.993	0.176	0.4583664	0.2291832	-0.2291832	101.8260958	-0.81360036	-10.67993712
0.8	80	-0.035	-0.994	0.178	0.5156622	0.1718874	-0.286479	101.6885858	-0.859437	-10.6570188
0.81	81	-0.035	-0.992	0.178	0.6302538	0.0572958	-0.4010706	101.6943154	-0.85370742	-10.6570188
0.82	82	-0.033	-0.993	0.179	0.5156622	0	-0.4583664	101.700045	-0.85370742	-10.6570188
0.83	83	-0.033	-0.993	0.179	0.3437748	-0.1718874	-0.286479	101.7057746	-0.84797784	-10.6570188
0.84	84	-0.032	-0.994	0.18	0.4010706	-0.4010706	-0.2291832	101.7115042	-0.84224826	-10.66274838
0.85	85	-0.032	-0.995	0.18	0.4583664	-0.5156622	-0.1145916	101.591183	-0.87662574	-10.65128922
0.86	86	-0.032	-0.995	0.181	0.5156622	-0.4583664	-0.0572958	101.5969126	-0.87662574	-10.6570188
0.87	87	-0.032	-0.993	0.18	0.4583664	-0.4583664	-0.1718874	101.6026421	-0.87089616	-10.66274838
0.88	88	-0.033	-0.992	0.179	0.4583664	-0.572958	-0.0572958	101.6083717	-0.87089616	-10.66847796
0.89	89	-0.034	-0.993	0.18	0.572958	-0.572958	-0.1145916	101.6141013	-0.86516658	-10.67420754
0.9	90	-0.035	-0.993	0.179	0.572958	-0.4010706	-0.1145916	101.4594026	-0.92819196	-10.6570188
0.91	91	-0.035	-0.992	0.181	0.6302538	-0.286479	-0.1718874	101.4651322	-0.92246238	-10.66274838
0.92	92	-0.035	-0.992	0.18	0.572958	-0.2291832	-0.2291832	101.4708618	-0.92246238	-10.66274838
0.93	93	-0.034	-0.992	0.182	0.2291832	-0.1145916	-0.1718874	101.4765914	-0.9167328	-10.66274838
0.94	94	-0.036	-0.992	0.181	0.1718874	-0.286479	-0.1718874	101.4765914	-0.9167328	-10.66847796
0.95	95	-0.035	-0.994	0.179	0.1718874	-0.3437748	-0.3437748	101.2817857	-0.99694692	-10.64555964
0.96	96	-0.035	-0.993	0.18	0.1145916	-0.3437748	-0.4583664	101.2875152	-0.99121734	-10.64555964
0.97	97	-0.035	-0.994	0.179	0.1145916	-0.3437748	-0.5156622	101.2875152	-0.98548776	-10.64555964
0.98	98	-0.036	-0.993	0.179	0	-0.4583664	-0.572958	101.2875152	-0.97975818	-10.65128922
0.99	99	-0.032	-0.992	0.181	0.2291832	-0.6302538	-0.5156622	101.2875152	-0.96829902	-10.6570188
1	100	-0.031	-0.995	0.182	0.2291832	-0.6302538	-0.5156622	101.2015715	-0.99121734	-10.65128922
1.01	101	-0.029	-0.995	0.186	0.0572958	-0.6302538	-0.3437748	101.2073011	-0.98548776	-10.6570188
1.02	102	-0.028	-0.994	0.186	0.0572958	-0.572958	-0.0572958	101.2073011	-0.97975818	-10.66274838
1.03	103	-0.025	-0.993	0.182	-0.1718874	-0.3437748	0.2291832	101.2073011	-0.98548776	-10.66847796
1.04	104	-0.026	-0.997	0.182	-0.1718874	-0.2291832	0.4010706	101.2015715	-0.98548776	-10.67420754
1.05	105	-0.03	-0.999	0.185	-0.0572958	-0.286479	0.4010706	101.0697912	-1.0313244	-10.66274838
1.06	106	-0.031	-0.999	0.186	-0.2291832	-0.3437748	0.2291832	101.0697912	-1.0313244	-10.66274838
1.07	107	-0.033	-0.998	0.185	-0.4583664	-0.1145916	0.2291832	101.0640616	-1.03705398	-10.66847796
1.08	108	-0.035	-0.998	0.186	-0.572958	-0.5156622	0.0572958	101.058332	-1.03705398	-10.67420754
1.09	109	-0.036	-0.999	0.188	-0.6302538	-0.572958	-0.1718874	101.0526025	-1.0313244	-10.67993712
1.1	110	-0.034	-0.999	0.187	-0.9167328	-0.4583664	-0.3437748	100.9895771	-1.04278356	-10.67420754
1.11	111	-0.033	-0.996	0.182	-1.3178034	-0.3437748	-0.4010706	100.9781179	-1.03705398	-10.67993712
1.12	112	-0.031	-0.993	0.182	-1.432395	-0.1145916	-0.3437748	100.9609292	-1.03705398	-10.67993712
1.13	113	-0.03	-0.991	0.182	-1.145916	-0.1145916	-0.2291832	100.94947	-1.0313244	-10.67993712
1.14	114	-0.029	-0.989	0.183	-0.859437	0.0572958	0	100.9437404	-1.0313244	-10.67993712
1.15	115	-0.032	-0.99	0.185	-0.7448454	0.2291832	0.1145916	100.8635263	-1.0599723	-10.66847796
1.16	116	-0.032	-0.991	0.184	-0.8021412	0.4010706	0.1145916	100.8520672	-1.0599723	-10.66847796
1.17	117	-0.035	-0.99	0.182	-1.2032118	0.7448454	0.1145916	100.840608	-1.06570188	-10.66274838
1.18	118	-0.037	-0.991	0.182	-1.0886202	0.9740286	0.0572958	100.8291488	-1.06570188	-10.65128922
1.19	119	-0.037	-0.993	0.182	-1.145916	1.0886202	-0.1145916	100.8176897	-1.07143146	-10.63983006
1.2	120	-0.036	-0.992	0.181	-1.0886202	1.0886202	-0.2291832	100.7661235	-1.08289062	-10.62264132
1.21	121	-0.035	-0.993	0.18	-0.9740286	0.859437	-0.4010706	100.7546643	-1.08289062	-10.61691174
1.22	122	-0.034	-0.994	0.179	-0.9740286	0.6875496	-0.5156622	100.7432051	-1.07716104	-10.60545258
1.23	123	-0.033	-0.995	0.179	-0.9167328	0.4583664	-0.5156622	100.7374756	-1.07716104	-10.599723
1.24	124	-0.031	-0.996	0.18	-0.9740286	0.4010706	-0.572958	100.7260164	-1.07143146	-10.599723
1.25	125	-0.03	-0.996	0.18	-0.9167328	0.4010706	-0.4010706	100.6515319	-1.08289062	-10.58826384
1.26	126	-0.032	-0.996	0.179	-0.9740286	0.286479	-0.2291832	100.6458023	-1.07716104	-10.58253426
1.27	127	-0.033	-0.995	0.181	-0.9740286	0.3437748	-0.2291832	100.6343431	-1.07716104	-10.57680468
1.28	128	-0.033	-0.995	0.181	-1.0313244	0.4010706	-0.1718874	100.622884	-1.07716104	-10.57680468
1.29	129	-0.033	-0.995	0.182	-1.0886202	0.6302538	-0.1145916	100.6114248	-1.07716104	-10.5710751
1.3	130	-0.031	-0.995	0.181	-1.2032118	0.9167328	0	100.5655882	-1.0886202	-10.55388636
1.31	131	-0.031	-0.996	0.182	-1.2605076	0.9167328	0.0572958	100.5483994	-1.09434978	-10.54815678
1.32	132	-0.03	-0.995	0.183	-1.2605076	0.8021412	0	100.5369403	-1.09434978	-10.53669762
1.33	133	-0.03	-0.994	0.183	-1.432395	0.6302538	-0.2291832	100.5197515	-1.09434978	-10.53096804
1.34	134	-0.029	-0.994	0.182	-1.6615782	0.5156622	-0.4010706	100.5025628	-1.0886202	-10.52523846
1.35	135	-0.03	-0.996	0.18	-1.718874	0.4010706	-0.4583664	100.4509966	-1.09434978	-10.51950888
1.36	136	-0.03	-0.996	0.182	-1.8334656	0.4010706	-0.4583664	100.4338078	-1.0886202	-10.5137793
1.37	137	-0.029	-0.996	0.182	-1.8334656	0.3437748	-0.4583664	100.4166191	-1.0886202	-10.50804972
1.38	138	-0.028	-0.994	0.181	-2.005353	0.2291832	-0.4010706	100.3937008	-1.08289062	-10.50804972
1.39	139	-0.026	-0.994	0.181	-2.1199446	0.2291832	-0.4010706	100.3707824	-1.07716104	-10.50232014
1.4	140	-0.026	-0.995	0.182	-2.291832	0.0572958	-0.286479	100.3249458	-1.08289062	-10.50232014
1.41	141	-0.027	-0.995	0.181	-2.5210152	0	-0.1718874	100.2962979	-1.07716104	-10.50232014
1.42	142	-0.026	-0.994	0.18	-2.578311	0	-0.1145916	100.2733796	-1.07716104	-10.50232014
1.43	143	-0.029	-0.996	0.179	-2.6356068	0	-0.1145916	100.2447317	-1.07716104	-10.50232014
1.44	144	-0.031	-0.996	0.178	-2.6356068	0.0572958	-0.0572958	100.2160838	-1.07716104	-10.50232014
1.45	145	-0.03	-0.995	0.177	-2.6356068	0	-0.1145916	100.1645176	-1.08289062	-10.49659056
1.46	146	-0.03	-0.996	0.176	-2.6356068	0	-0.1145916	100.1358697	-1.07716104	-10.49659056
1.47	147	-0.028	-0.996	0.175	-2.5210152	0	-0.1145916	100.1129513	-1.07716104	-10.49659056
1.48	148	-0.028	-0.997	0.175	-2.6929026	-0.1145916	-0.0572958	100.0843034	-1.07716104	-10.50232014
1.49	149	-0.028	-0.997	0.176	-2.7501984	0	-0.0572958	100.0556555	-1.07716104	-10.50232014
1.5	150	-0.027	-0.996	0.175	-2.9220858	-0.1145916	0	100.0040893	-1.07716104	-10.50232014
1.51	151	-0.027	-0.995	0.174	-2.9793816	-0.286479	0	99.96971184	-1.07716104	-10.50232014
1.52	152	-0.028	-0.994	0.173	-3.0939732	-0.4010706	-0.0572958	99.94106394	-1.07716104	-10.50804972
1.53	153	-0.029	-0.994	0.172	-3.0939732	-0.6302538	0	99.90668646	-1.07716104	-10.5137793
1.54	154	-0.027	-0.994	0.172	-3.151269	-0.6875496	-0.0572958	99.87803856	-1.07143146	-10.52523846
1.55	155	-0.028	-0.996	0.172	-3.2085648	-0.6875496	-0.0572958	99.82647234	-1.07716104	-10.53096804
1.56	156	-0.029	-0.996	0.172	-3.2658606	-0.7448454	0	99.79209486	-1.07716104	-10.53669762
1.57	157	-0.03	-0.998	0.17	-3.3804522	-0.8021412	0	99.75771738	-1.07143146	-10.54815678
1.58	158	-0.029	-0.999	0.169	-3.4950438	-0.7448454	-0.0572958	99.7233399	-1.07143146	-10.55388636
1.59	159	-0.03	-1.001	0.17	-3.5523396	-0.6302538	-0.1145916	99.68896242	-1.07143146	-10.55961594
1.6	160	-0.031	-1	0.173	-3.724227	-0.4583664	-0.1145916	99.6373962	-1.07143146	-10.56534552
1.61	161	-0.031	-1.001	0.17	-3.8961144	-0.286479	-0.0572958	99.59728914	-1.07143146	-10.56534552
1.62	162	-0.03	-1	0.17	-4.0680018	-0.2291832	-0.0572958	99.5514525	-1.07143146	-10.5710751
1.63	163	-0.03	-0.999	0.171	-4.297185	-0.1718874	-0.1145916	99.51134544	-1.07143146	-10.5710751
1.64	164	-0.029	-0.998	0.172	-4.5263682	-0.2291832	-0.2291832	99.4655088	-1.06570188	-10.57680468
1.65	165	-0.029	-0.997	0.17	-4.870143	-0.2291832	-0.2291832	99.40248342	-1.06570188	-10.57680468
1.66	166	-0.029	-0.997	0.168	-5.0993262	-0.3437748	-0.286479	99.3509172	-1.06570188	-10.58253426
1.67	167	-0.028	-0.998	0.168	-5.2712136	-0.286479	-0.4583664	99.29935098	-1.0599723	-10.58253426
1.68	168	-0.027	-0.995	0.166	-5.3858052	-0.1718874	-0.572958	99.24205518	-1.05424272	-10.58826384
1.69	169	-0.029	-0.996	0.165	-5.156622	-0.3437748	-0.572958	99.19048896	-1.04851314	-10.58826384
1.7	170	-0.03	-0.997	0.164	-5.156622	-0.3437748	-0.572958	99.12746358	-1.04278356	-10.58826384
1.71	171	-0.028	-1.001	0.167	-5.3858052	-0.0572958	-0.5156622	99.07016778	-1.03705398	-10.59399342
1.72	172	-0.025	-0.999	0.164	-5.5576926	0.1145916	-0.4010706	99.01860156	-1.03705398	-10.58826384
1.73	173	-0.023	-0.997	0.161	-5.443101	0.2291832	-0.2291832	98.96130576	-1.03705398	-10.58826384
1.74	174	-0.023	-1	0.16	-5.5003968	0.1145916	-0.1145916	98.90400996	-1.0313244	-10.58826384
1.75	175	-0.023	-1.002	0.161	-5.5576926	0.1718874	-0.0572958	98.835255	-1.0313244	-10.58826384
1.76	176	-0.025	-1.004	0.158	-5.9014674	0.4010706	-0.1145916	98.7779592	-1.0313244	-10.58253426
1.77	177	-0.028	-1.003	0.16	-6.1306506	0.4583664	0	98.71493382	-1.03705398	-10.57680468
1.78	178	-0.029	-1.001	0.163	-6.2452422	0.2291832	-0.2291832	98.65190844	-1.0313244	-10.57680468
1.79	179	-0.027	-1.003	0.164	-6.1306506	0.0572958	-0.3437748	98.58888306	-1.0313244	-10.57680468
1.8	180	-0.026	-1.005	0.161	-6.5317212	0.1145916	-0.572958	98.51439852	-1.02559482	-10.5710751
1.81	181	-0.026	-1.007	0.157	-6.9327918	0.1145916	-0.6302538	98.44564356	-1.01986524	-10.5710751
1.82	182	-0.022	-1.005	0.159	-7.2192708	-0.1145916	-0.572958	98.37115902	-1.01413566	-10.5710751
1.83	183	-0.019	-1	0.161	-7.3338624	-0.4010706	-0.4583664	98.29667448	-1.00840608	-10.57680468
1.84	184	-0.02	-0.995	0.159	-7.2765666	-0.9167328	-0.1718874	98.22218994	-1.00840608	-10.58826384
1.85	185	-0.025	-0.994	0.155	-7.1046792	-1.0886202	-0.1145916	98.1477054	-1.00840608	-10.599723
1.86	186	-0.027	-0.996	0.155	-7.161975	-1.145916	-0.1145916	98.07322086	-1.0026765	-10.61118216
1.87	187	-0.03	-0.994	0.156	-6.9900876	-1.0313244	-0.1718874	98.0044659	-1.0026765	-10.62264132
1.88	188	-0.031	-0.995	0.153	-6.7036086	-1.0886202	-0.1718874	97.93571094	-0.99694692	-10.63410048
1.89	189	-0.033	-0.997	0.154	-6.875496	-0.9740286	-0.2291832	97.86695598	-0.99121734	-10.64555964
1.9	190	-0.029	-1.002	0.158	-7.3338624	-0.6875496	-0.4010706	97.79247144	-0.99121734	-10.65128922
1.91	191	-0.026	-0.999	0.158	-7.6203414	-1.0313244	-0.572958	97.7179869	-0.98548776	-10.66274838
1.92	192	-0.027	-0.999	0.151	-7.2192708	-1.6042824	-0.4583664	97.64350236	-0.9740286	-10.67420754
1.93	193	-0.031	-1.006	0.15	-7.5057498	-1.8334656	-0.5156622	97.56901782	-0.96829902	-10.69712586
1.94	194	-0.032	-1.01	0.151	-7.734933	-1.8334656	-0.572958	97.4888037	-0.96256944	-10.7143146
1.95	195	-0.032	-1.007	0.148	-7.5057498	-1.8907614	-0.4583664	97.40858958	-0.95683986	-10.73150334
1.96	196	-0.036	-1.005	0.151	-7.3911582	-1.8334656	-0.6302538	97.33410504	-0.9453807	-10.74869208
1.97	197	-0.038	-0.999	0.16	-7.734933	-1.0886202	-1.2032118	97.2596205	-0.93392154	-10.76015124
1.98	198	-0.038	-0.997	0.158	-7.9641162	0.1145916	-1.718874	97.17940638	-0.9167328	-10.76015124
1.99	199	-0.036	-1	0.145	-8.4797784	2.0626488	-1.7761698	97.0877331	-0.90527364	-10.73723292
2	200	-0.035	-1	0.136	-8.4797784	3.6669312	-1.718874	97.0017894	-0.89954406	-10.69712586
2.01	201	-0.034	-0.998	0.135	-8.021412	4.2398892	-1.8907614	96.9158457	-0.8880849	-10.6570188
2.02	202	-0.032	-0.998	0.13	-7.8495246	4.8128472	-1.9480572	96.83563158	-0.87089616	-10.60545258
2.03	203	-0.03	-1	0.124	-7.734933	5.2712136	-2.1199446	96.75541746	-0.859437	-10.55388636
2.04	204	-0.027	-1	0.122	-7.5057498	5.443101	-2.1199446	96.67520334	-0.84797784	-10.49659056
2.05	205	-0.024	-0.999	0.121	-7.2192708	5.6722842	-2.0626488	96.59498922	-0.83651868	-10.43929476
2.06	206	-0.022	-0.992	0.115	-6.875496	5.8441716	-2.0626488	96.52623426	-0.82505952	-10.38199896
2.07	207	-0.02	-0.988	0.11	-6.3598338	5.72958	-1.718874	96.4574793	-0.81360036	-10.32470316
2.08	208	-0.019	-0.987	0.109	-5.72958	5.2139178	-1.5469866	96.4001835	-0.80787078	-10.27313694
2.09	209	-0.016	-0.99	0.105	-5.5576926	4.9847346	-1.2605076	96.3428877	-0.8021412	-10.22157072
2.1	210	-0.016	-0.994	0.101	-5.3285094	4.297185	-0.9740286	96.27413274	-0.79641162	-10.17573408
2.11	211	-0.016	-0.993	0.102	-5.156622	3.6096354	-0.7448454	96.22256652	-0.79641162	-10.1413566
2.12	212	-0.016	-0.995	0.1	-5.156622	3.0939732	-0.5156622	96.16527072	-0.79068204	-10.1127087
2.13	213	-0.01	-1	0.099	-4.9847346	2.9220858	-0.4583664	96.1137045	-0.79068204	-10.0840608
2.14	214	-0.008	-1.007	0.095	-5.0420304	2.7501984	-0.4010706	96.06213828	-0.79068204	-10.0554129
2.15	215	-0.008	-1.013	0.095	-5.443101	2.4637194	-0.1718874	95.98765374	-0.79068204	-10.03249458
2.16	216	-0.009	-1.017	0.091	-6.0733548	2.1772404	0.1145916	95.92462836	-0.79641162	-10.00957626
2.17	217	-0.011	-1.019	0.088	-6.4744254	1.6615782	0.4583664	95.86160298	-0.8021412	-9.9981171
2.18	218	-0.012	-1.021	0.088	-6.7609044	1.0313244	0.5156622	95.79284802	-0.80787078	-9.98665794
2.19	219	-0.01	-1.02	0.086	-6.8182002	0.6875496	0.5156622	95.72409306	-0.81360036	-9.98092836
2.2	220	-0.007	-1.019	0.085	-7.0473834	0.4010706	0.3437748	95.63241978	-0.81360036	-9.97519878
2.21	221	-0.006	-1.02	0.086	-7.3911582	0.0572958	0.286479	95.55793524	-0.81932994	-9.97519878
2.22	222	-0.005	-1.02	0.088	-8.021412	0	0.4010706	95.47772112	-0.81932994	-9.98092836
2.23	223	-0.007	-1.019	0.088	-8.4797784	-0.1145916	0.8021412	95.38604784	-0.8307891	-9.98092836
2.24	224	-0.01	-1.017	0.086	-8.9381448	-0.4583664	1.0886202	95.30010414	-0.84224826	-9.98665794
2.25	225	-0.012	-1.014	0.088	-9.2819196	-0.859437	1.2605076	95.1969717	-0.85370742	-9.9981171
2.26	226	-0.015	-1.01	0.091	-9.3965112	-1.3750992	1.3750992	95.09956884	-0.86516658	-10.01530584
2.27	227	-0.015	-1.008	0.09	-9.6829902	-1.432395	1.432395	95.00216598	-0.87662574	-10.03249458
2.28	228	-0.014	-1.009	0.087	-9.9121734	-1.5469866	1.432395	94.90476312	-0.89381448	-10.04968332
2.29	229	-0.012	-1.008	0.089	-10.026765	-1.718874	1.3750992	94.80163068	-0.90527364	-10.07260164
2.3	230	-0.01	-1.006	0.091	-10.0840608	-1.8334656	1.432395	94.69276866	-0.91100322	-10.08979038
2.31	231	-0.011	-1.001	0.093	-10.026765	-2.1199446	1.4896908	94.5953658	-0.92819196	-10.1127087
2.32	232	-0.011	-1	0.093	-9.9694692	-2.4064236	1.6042824	94.49223336	-0.93965112	-10.1413566
2.33	233	-0.013	-0.999	0.094	-9.9121734	-2.6929026	1.8334656	94.3948305	-0.95683986	-10.1700045
2.34	234	-0.015	-1.001	0.096	-9.9121734	-2.86479	1.8334656	94.29169806	-0.9740286	-10.20438198
2.35	235	-0.015	-1.001	0.099	-9.8548776	-2.9220858	1.8334656	94.1942952	-0.98548776	-10.23302988
2.36	236	-0.015	-1.003	0.1	-9.9121734	-3.0939732	1.7761698	94.09689234	-1.0026765	-10.26740736
2.37	237	-0.018	-1.005	0.098	-10.1986524	-3.0366774	1.6615782	93.9937599	-1.01986524	-10.30178484
